x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,32.8375,0,0,0,0
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-85.3775,32.8375,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-72.2425,32.8375,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-59.1075,32.8375,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,84.179588,394.05,0.868215677959544,3
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,0,0,0,0
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-45.9725,32.8375,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,18.504588,128.06625,0.442977517657558,8
-45.9725,-32.8375,-42.3940483636364,143.290909090909,0.719575371799541,11
-45.9725,-45.9725,0,0,0,0
-45.9725,-59.1075,-60.305412,144.485,0.488134154190892,6
-45.9725,-72.2425,0,0,0,0
-45.9725,-85.3775,0,0,0,0
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-32.8375,32.8375,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,102.943873714286,90.0685714285714,0.46304589625176,7
-32.8375,-19.7025,57.909588,183.89,0.40007503289042,6
-32.8375,-32.8375,-77.1932691428571,112.585714285714,0.549840059764231,7
-32.8375,-45.9725,-99.710412,147.76875,0.24807110018145,8
-32.8375,-59.1075,-76.067412,149.739,0.752736228461733,10
-32.8375,-72.2425,-82.1970786666667,113.836666666667,0.675442371219859,9
-32.8375,-85.3775,0,0,0,0
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-19.7025,32.8375,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,215.529588,45.0342857142857,0.168466728180073,7
-19.7025,-19.7025,48.058338,167.47125,0.864182907472904,8
-19.7025,-32.8375,-49.0468405714286,140.732142857143,0.632283429183866,14
-19.7025,-45.9725,50.028588,165.501,0.699030717611629,10
-19.7025,-59.1075,-51.2119504615385,157.62,0.409901179955916,13
-19.7025,-72.2425,-71.0522301818182,121.797272727273,0.56785210229234,11
-19.7025,-85.3775,-131.234412,157.62,0.633758839788118,5
-19.7025,-98.5125,0,0,0,0
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,0,0,0,0
-19.7025,-137.9175,0,0,0,0
-19.7025,-151.0525,0,0,0,0
-19.7025,-164.1875,0,0,0,0
-6.5675,32.8375,0,0,0,0
-6.5675,19.7025,0,0,0,0
-6.5675,6.5675,0,0,0,0
-6.5675,-6.5675,180.502921333333,87.5666666666667,0.614414447230829,9
-6.5675,-19.7025,182.692088,-59.1075,0.639499339527696,12
-6.5675,-32.8375,22.8829213333333,157.62,0.839435035990739,9
-6.5675,-45.9725,5.369588,152.366,0.684670571681145,15
-6.5675,-59.1075,-1.197912,151.0525,0.879883045983286,12
-6.5675,-72.2425,-7.765412,144.485,0.628384506310417,12
-6.5675,-85.3775,-27.467912,118.215,0.89431531175702,12
-6.5675,-98.5125,18.504588,157.62,0.80969955015246,6
-6.5675,-111.6475,0,0,0,0
-6.5675,-124.7825,0,0,0,0
-6.5675,-137.9175,0,0,0,0
-6.5675,-151.0525,0,0,0,0
-6.5675,-164.1875,0,0,0,0
6.5675,32.8375,0,0,0,0
6.5675,19.7025,0,0,0,0
6.5675,6.5675,0,0,0,0
6.5675,-6.5675,268.069588,78.81,0.833621822717904,3
6.5675,-19.7025,125.461016571429,135.102857142857,0.705112453325958,7
6.5675,-32.8375,149.854588,118.215,0.597889691978447,6
6.5675,-45.9725,86.5677698181818,171.949090909091,0.786845049206382,11
6.5675,-59.1075,49.1529213333333,148.863333333333,0.807560843284603,9
6.5675,-72.2425,-168.669162,108.36375,0.660951416470703,8
6.5675,-85.3775,57.909588,168.878571428571,0.811093864734186,7
6.5675,-98.5125,57.909588,-157.62,0.49155775761913,3
6.5675,-111.6475,152.481588,15.762,0.536185612001842,5
6.5675,-124.7825,0,0,0,0
6.5675,-137.9175,0,0,0,0
6.5675,-151.0525,0,0,0,0
6.5675,-164.1875,0,0,0,0
19.7025,32.8375,0,0,0,0
19.7025,19.7025,0,0,0,0
19.7025,6.5675,0,0,0,0
19.7025,-6.5675,-217.925412,-78.81,0.945516793955601,2
19.7025,-19.7025,195.827088,197.025,0.825110426509594,4
19.7025,-32.8375,162.989588,210.16,0.694027371447014,6
19.7025,-45.9725,57.909588,157.62,0.743901849678974,5
19.7025,-59.1075,-237.627912,78.81,0.900882496033303,4
19.7025,-72.2425,5.369588,183.89,0.689261165539895,3
19.7025,-85.3775,-20.900412,135.102857142857,0.704374490672499,7
19.7025,-98.5125,189.259588,144.485,0.689895072906658,6
19.7025,-111.6475,114.202445142857,33.7757142857143,0.653086195118593,7
19.7025,-124.7825,0,0,0,0
19.7025,-137.9175,0,0,0,0
19.7025,-151.0525,0,0,0,0
19.7025,-164.1875,0,0,0,0
32.8375,32.8375,0,0,0,0
32.8375,19.7025,0,0,0,0
32.8375,6.5675,0,0,0,0
32.8375,-6.5675,-241.568412,236.43,0.663144559316483,5
32.8375,-19.7025,-201.037554857143,202.654285714286,0.38237069345052,7
32.8375,-32.8375,120.957588,-110.334,0.780520719724219,5
32.8375,-45.9725,18.504588,170.755,0.763697513329969,12
32.8375,-59.1075,152.481588,220.668,0.705321042715041,5
32.8375,-72.2425,195.827088,39.405,0.69459922174364,4
32.8375,-85.3775,136.719588,137.9175,0.927997815673949,4
32.8375,-98.5125,136.719588,110.334,0.884700375059954,5
32.8375,-111.6475,152.481588,94.572,0.740201207126212,5
32.8375,-124.7825,136.719588,26.27,0.691856278349085,3
32.8375,-137.9175,0,0,0,0
32.8375,-151.0525,0,0,0,0
32.8375,-164.1875,0,0,0,0
45.9725,32.8375,0,0,0,0
45.9725,19.7025,0,0,0,0
45.9725,6.5675,0,0,0,0
45.9725,-6.5675,0,0,0,0
45.9725,-19.7025,-158.817912,147.76875,0.752708285064897,8
45.9725,-32.8375,-60.305412,197.025,0.787844820958024,8
45.9725,-45.9725,-208.074162,-147.76875,0.824868951061151,8
45.9725,-59.1075,34.266588,189.144,0.75040654456694,10
45.9725,-72.2425,-125.980412,-288.97,0.718612840045427,3
45.9725,-85.3775,57.909588,157.62,0.926820832463236,6
45.9725,-98.5125,89.433588,126.096,0.55729196353997,5
45.9725,-111.6475,57.909588,-118.215,0.512055445327583,4
45.9725,-124.7825,176.124588,98.5125,0.606766913232452,4
45.9725,-137.9175,184.005588,-31.524,0.206545839630547,5
45.9725,-151.0525,136.719588,-13.135,0.166865896148166,6
45.9725,-164.1875,0,0,0,0
59.1075,32.8375,0,0,0,0
59.1075,19.7025,0,0,0,0
59.1075,6.5675,0,0,0,0
59.1075,-6.5675,-213.547078666667,-17.5133333333333,0.657350922200133,9
59.1075,-19.7025,-268.588983428571,-45.0342857142857,0.686729571530455,7
59.1075,-32.8375,-187.277078666667,-8.75666666666667,0.47223678071811,9
59.1075,-45.9725,-157.026775636364,57.3163636363636,0.419648106387112,11
59.1075,-59.1075,-54.6761262857143,157.62,0.637349314186961,7
