x(um),y(um),Vx(mm/s),Vy(mm/s),Circular variance,particle numbers
-98.5125,45.9725,0,0,0,0
-98.5125,32.8375,0,0,0,0
-98.5125,19.7025,0,0,0,0
-98.5125,6.5675,0,0,0,0
-98.5125,-6.5675,0,0,0,0
-98.5125,-19.7025,0,0,0,0
-98.5125,-32.8375,0,0,0,0
-98.5125,-45.9725,0,0,0,0
-98.5125,-59.1075,0,0,0,0
-98.5125,-72.2425,0,0,0,0
-98.5125,-85.3775,0,0,0,0
-98.5125,-98.5125,0,0,0,0
-98.5125,-111.6475,0,0,0,0
-98.5125,-124.7825,0,0,0,0
-98.5125,-137.9175,0,0,0,0
-98.5125,-151.0525,0,0,0,0
-98.5125,-164.1875,0,0,0,0
-98.5125,-177.3225,0,0,0,0
-98.5125,-190.4575,0,0,0,0
-98.5125,-203.5925,0,0,0,0
-98.5125,-216.7275,0,0,0,0
-98.5125,-229.8625,0,0,0,0
-98.5125,-242.9975,0,0,0,0
-85.3775,45.9725,0,0,0,0
-85.3775,32.8375,0,0,0,0
-85.3775,19.7025,0,0,0,0
-85.3775,6.5675,0,0,0,0
-85.3775,-6.5675,0,0,0,0
-85.3775,-19.7025,0,0,0,0
-85.3775,-32.8375,0,0,0,0
-85.3775,-45.9725,0,0,0,0
-85.3775,-59.1075,0,0,0,0
-85.3775,-72.2425,0,0,0,0
-85.3775,-85.3775,0,0,0,0
-85.3775,-98.5125,0,0,0,0
-85.3775,-111.6475,0,0,0,0
-85.3775,-124.7825,0,0,0,0
-85.3775,-137.9175,0,0,0,0
-85.3775,-151.0525,0,0,0,0
-85.3775,-164.1875,0,0,0,0
-85.3775,-177.3225,0,0,0,0
-85.3775,-190.4575,0,0,0,0
-85.3775,-203.5925,0,0,0,0
-85.3775,-216.7275,0,0,0,0
-85.3775,-229.8625,0,0,0,0
-85.3775,-242.9975,0,0,0,0
-72.2425,45.9725,0,0,0,0
-72.2425,32.8375,0,0,0,0
-72.2425,19.7025,0,0,0,0
-72.2425,6.5675,0,0,0,0
-72.2425,-6.5675,0,0,0,0
-72.2425,-19.7025,0,0,0,0
-72.2425,-32.8375,0,0,0,0
-72.2425,-45.9725,0,0,0,0
-72.2425,-59.1075,0,0,0,0
-72.2425,-72.2425,0,0,0,0
-72.2425,-85.3775,0,0,0,0
-72.2425,-98.5125,0,0,0,0
-72.2425,-111.6475,0,0,0,0
-72.2425,-124.7825,0,0,0,0
-72.2425,-137.9175,0,0,0,0
-72.2425,-151.0525,0,0,0,0
-72.2425,-164.1875,0,0,0,0
-72.2425,-177.3225,0,0,0,0
-72.2425,-190.4575,0,0,0,0
-72.2425,-203.5925,0,0,0,0
-72.2425,-216.7275,0,0,0,0
-72.2425,-229.8625,0,0,0,0
-72.2425,-242.9975,0,0,0,0
-59.1075,45.9725,0,0,0,0
-59.1075,32.8375,0,0,0,0
-59.1075,19.7025,0,0,0,0
-59.1075,6.5675,0,0,0,0
-59.1075,-6.5675,0,0,0,0
-59.1075,-19.7025,0,0,0,0
-59.1075,-32.8375,0,0,0,0
-59.1075,-45.9725,0,0,0,0
-59.1075,-59.1075,57.830778,-236.43,0.797793948488531,2
-59.1075,-72.2425,0,0,0,0
-59.1075,-85.3775,0,0,0,0
-59.1075,-98.5125,0,0,0,0
-59.1075,-111.6475,0,0,0,0
-59.1075,-124.7825,0,0,0,0
-59.1075,-137.9175,0,0,0,0
-59.1075,-151.0525,0,0,0,0
-59.1075,-164.1875,0,0,0,0
-59.1075,-177.3225,0,0,0,0
-59.1075,-190.4575,0,0,0,0
-59.1075,-203.5925,0,0,0,0
-59.1075,-216.7275,0,0,0,0
-59.1075,-229.8625,0,0,0,0
-59.1075,-242.9975,0,0,0,0
-45.9725,45.9725,0,0,0,0
-45.9725,32.8375,0,0,0,0
-45.9725,19.7025,0,0,0,0
-45.9725,6.5675,0,0,0,0
-45.9725,-6.5675,0,0,0,0
-45.9725,-19.7025,-178.599222,197.025,0.500272486075471,2
-45.9725,-32.8375,57.830778,197.025,0.439982645418911,8
-45.9725,-45.9725,8.574528,157.62,0.4675257534505,8
-45.9725,-59.1075,-84.027222,204.906,0.529021976036632,5
-45.9725,-72.2425,-139.194222,144.485,0.695332253229859,6
-45.9725,-85.3775,-5.217222,126.096,0.201205717262359,5
-45.9725,-98.5125,0,0,0,0
-45.9725,-111.6475,0,0,0,0
-45.9725,-124.7825,0,0,0,0
-45.9725,-137.9175,0,0,0,0
-45.9725,-151.0525,0,0,0,0
-45.9725,-164.1875,0,0,0,0
-45.9725,-177.3225,0,0,0,0
-45.9725,-190.4575,0,0,0,0
-45.9725,-203.5925,0,0,0,0
-45.9725,-216.7275,0,0,0,0
-45.9725,-229.8625,0,0,0,0
-45.9725,-242.9975,0,0,0,0
-32.8375,45.9725,0,0,0,0
-32.8375,32.8375,0,0,0,0
-32.8375,19.7025,0,0,0,0
-32.8375,6.5675,0,0,0,0
-32.8375,-6.5675,-5.217222,110.334,0.423358731604837,5
-32.8375,-19.7025,202.315778,262.7,0.480438768120935,6
-32.8375,-32.8375,66.5874446666667,96.3233333333333,0.472674705111227,9
-32.8375,-45.9725,-7.844222,157.62,0.658359282991125,6
-32.8375,-59.1075,-223.633507714286,45.0342857142857,0.905058430856819,7
-32.8375,-72.2425,-106.953767454545,100.303636363636,0.606073127415396,11
-32.8375,-85.3775,-144.823507714286,123.844285714286,0.634288406478565,7
-32.8375,-98.5125,0,0,0,0
-32.8375,-111.6475,0,0,0,0
-32.8375,-124.7825,0,0,0,0
-32.8375,-137.9175,0,0,0,0
-32.8375,-151.0525,0,0,0,0
-32.8375,-164.1875,0,0,0,0
-32.8375,-177.3225,0,0,0,0
-32.8375,-190.4575,0,0,0,0
-32.8375,-203.5925,0,0,0,0
-32.8375,-216.7275,0,0,0,0
-32.8375,-229.8625,0,0,0,0
-32.8375,-242.9975,0,0,0,0
-19.7025,45.9725,0,0,0,0
-19.7025,32.8375,0,0,0,0
-19.7025,19.7025,0,0,0,0
-19.7025,6.5675,0,0,0,0
-19.7025,-6.5675,0,0,0,0
-19.7025,-19.7025,-162.837222,110.334,0.716977537194374,5
-19.7025,-32.8375,-29.7358886666667,131.35,0.827019926007087,9
-19.7025,-45.9725,44.695778,183.89,0.753041221235773,6
-19.7025,-59.1075,-9.72065057142857,123.844285714286,0.757091380863837,14
-19.7025,-72.2425,-1.276722,108.36375,0.74726160967311,8
-19.7025,-85.3775,-66.0135077142857,168.878571428571,0.733691808605524,7
-19.7025,-98.5125,-56.8019492727273,150.455454545455,0.758641578110026,11
-19.7025,-111.6475,0,0,0,0
-19.7025,-124.7825,73.592778,-47.286,0.650963535837018,5
-19.7025,-137.9175,0,0,0,0
-19.7025,-151.0525,0,0,0,0
-19.7025,-164.1875,0,0,0,0
-19.7025,-177.3225,0,0,0,0
-19.7025,-190.4575,0,0,0,0
-19.7025,-203.5925,0,0,0,0
-19.7025,-216.7275,0,0,0,0
-19.7025,-229.8625,0,0,0,0
